trigger_type,filing_date,quarter,ai_weight_prior,ai_weight_current,ai_weight_change,total_portfolio_weight,ai_positions_count,new_ai_entries_this_quarter,ai_adds_this_quarter,ai_exits_this_quarter,top_5_ai_positions,subtheme,entering_tickers,entering_weights,total_subtheme_weight,subsequent_add,subsequent_add_tickers,quarters_held,ticker,company,theme,initial_weight_pct,became_active_add,filing_to_filing_return_pct,max_weight_pct,exit_date,cumulative_return_pct
NEW_AI_POSITION_2PCT,2025-02-14,2024-12-31,,,,,,,,,,,,,,,,2,MSFT,MICROSOFT CORP,AI/Hyperscaler,2.95,TRUE,11.37,4.79,2025-08-14,11.37
NEW_AI_POSITION_2PCT,2025-02-14,2024-12-31,,,,,,,,,,,,,,,,6,SNOW,SNOWFLAKE INC,AI/Data Infrastructure,2.56,FALSE,-2.47,3.26,CURRENT,-12.45
NEW_AI_POSITION_2PCT,2025-02-14,2024-12-31,,,,,,,,,,,,,,,,1,AVGO,BROADCOM INC,AI/Datacenter Chips,2.30,FALSE,0.13,2.30,2025-05-15,0.00
AI_BASKET_RAMP,2025-05-15,2025-03-31,33.17,47.63,14.45,83.52,14,"CRWV, META, NVDA, SNPS","ALAB, MSFT, MU","AVGO, CIEN, LRCX, LSCC, NTNX","ALAB:8.43, AMD:6.56, MSFT:4.79, META:4.20, AMZN:3.98",,,,,,,,,,,,,,,,
NEW_AI_POSITION_2PCT,2025-05-15,2025-03-31,,,,,,,,,,,,,,,,3,META,META PLATFORMS INC,AI/Hyperscaler,4.20,FALSE,21.56,4.20,2026-02-17,-5.21
NEW_AI_POSITION_2PCT,2025-05-15,2025-03-31,,,,,,,,,,,,,,,,5,NVDA,NVIDIA CORPORATION,AI/Datacenter Chips,3.57,TRUE,35.01,4.39,CURRENT,64.93
NEW_AI_POSITION_2PCT,2025-05-15,2025-03-31,,,,,,,,,,,,,,,,5,CRWV,COREWEAVE INC,AI/Datacenter Compute,2.11,TRUE,51.29,2.11,CURRENT,57.78
NEW_AI_SUBTHEME,2025-05-15,2025-03-31,,,,,,,,,,AI/Datacenter Compute,CRWV,2.11,2.11,FALSE,,5,,,,,,,,,
NEW_AI_POSITION_2PCT,2025-08-14,2025-06-30,,,,,,,,,,,,,,,,3,P,PURE STORAGE INC,AI/Datacenter Storage,5.68,TRUE,46.22,6.69,2026-05-18,25.65
NEW_AI_POSITION_2PCT,2025-08-14,2025-06-30,,,,,,,,,,,,,,,,4,CIEN,CIENA CORP,AI/Datacenter Optical,2.85,TRUE,109.70,5.25,CURRENT,473.76
AI_BASKET_RAMP,2026-05-18,2026-03-31,31.34,45.86,14.51,82.06,19,"AKAM, SNPS, VECO, VST","ALAB, AMZN, CRWV","MSFT, P","ALAB:7.37, CIEN:5.25, MU:5.14, NVDA:4.35, AMZN:3.97",,,,,,,,,,,,,,,,
NEW_AI_SUBTHEME,2026-05-18,2026-03-31,,,,,,,,,,AI/Datacenter Power,VST,1.57,1.57,FALSE,,1,,,,,,,,,
