trigger_type,filing_date,quarter,ai_weight_prior,ai_weight_current,ai_weight_change,total_portfolio_weight,ai_positions_count,new_ai_entries_this_quarter,ai_adds_this_quarter,ai_exits_this_quarter,top_5_ai_positions,subtheme,entering_tickers,entering_weights,total_subtheme_weight,subsequent_add,subsequent_add_tickers,quarters_held,ticker,company,theme,initial_weight_pct,became_active_add,filing_to_filing_return_pct,max_weight_pct,exit_date,cumulative_return_pct,subtheme_weight_prior,subtheme_weight_current,subtheme_weight_change,active_tickers,all_tickers_in_subtheme,fwd_1q_return,fwd_2q_return,fwd_3q_return,fwd_4q_return,smh_fwd_1q,smh_fwd_2q,smh_fwd_3q,smh_fwd_4q,excess_fwd_1q,excess_fwd_2q,excess_fwd_3q,excess_fwd_4q
AI_BASKET_RAMP,2023-11-14,2023-09-30,21.51,42.25,20.74,94.01,9,"CIEN, COHR, GOOGL, META, MSFT",AMD,"AMZN, HPE, MRVL","AMD:11.50, P:9.07, MSFT:6.70, GOOGL:5.31, META:3.70",,,,,,,,,,,,,,,,,,,,,,26.96,46.07,47.62,54.98,26.96,46.07,47.62,54.98,0.00,0.00,0.00,0.00
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2023-11-14,2023-09-30,,,,,,,,,,AI/Datacenter Optical,,,,,,,,,,,,,,,,0.00,2.74,2.74,"CIEN, COHR","CIEN, COHR",50.33,34.55,49.30,117.50,26.96,46.07,47.62,54.98,23.37,-11.52,1.68,62.52
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2023-11-14,2023-09-30,,,,,,,,,,AI/Hyperscaler,,,,,,,,,,,,,,,,3.49,15.71,12.22,"GOOGL, META, MSFT","GOOGL, META, MSFT",20.32,29.12,30.11,40.01,26.96,46.07,47.62,54.98,-6.64,-16.95,-17.51,-14.97
NEW_AI_POSITION_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,3,MSFT,MICROSOFT CORP,AI/Hyperscaler,6.70,FALSE,11.02,6.70,2024-08-14,14.91,,,,,,11.02,14.92,13.23,16.16,26.96,46.07,47.62,54.98,-15.94,-31.15,-34.39,-38.82
NEW_AI_POSITION_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,1,GOOGL,ALPHABET INC,AI/Hyperscaler,5.31,FALSE,9.22,5.31,2024-02-14,0.00,,,,,,9.22,29.11,20.16,31.73,26.96,46.07,47.62,54.98,-17.74,-16.96,-27.46,-23.25
NEW_AI_POSITION_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,1,META,META PLATFORMS INC,AI/Hyperscaler,3.70,FALSE,40.73,3.70,2024-02-14,0.00,,,,,,40.73,43.33,56.95,72.13,26.96,46.07,47.62,54.98,13.77,-2.74,9.33,17.15
NEW_AI_POSITION_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,6,CIEN,CIENA CORP,AI/Datacenter Optical,2.55,TRUE,25.64,5.65,2025-05-15,96.63,,,,,,25.64,7.99,9.54,52.72,26.96,46.07,47.62,54.98,-1.32,-38.08,-38.08,-2.26
NEW_AI_SUBTHEME,2023-11-14,2023-09-30,,,,,,,,,,AI/Datacenter Optical,"CIEN, COHR","2.55, 0.19",2.74,TRUE,"CIEN, COHR",11,,,,,,,,,,,,,,,50.33,34.55,49.30,117.50,26.96,46.07,47.62,54.98,23.37,-11.52,1.68,62.52
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2024-02-14,2023-12-31,,,,,,,,,,AI/EV,,,,,,,,,,,,,,,,1.66,4.56,2.90,TSLA,TSLA,-7.80,6.71,64.89,88.55,15.05,16.27,22.07,24.78,-22.85,-9.56,42.82,63.77
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2024-02-14,2023-12-31,,,,,,,,,,AI/Datacenter Optical,,,,,,,,,,,,,,,,2.74,4.57,1.84,"CIEN, COHR","CIEN, COHR",-11.00,-2.39,41.42,48.23,15.05,16.27,22.07,24.78,-26.05,-18.66,19.35,23.45
